player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
Federico Coria,0.8604651162790697,0.03488372093023256,0.20930232558139536,-0.12790697674418605,-31.11627906976744,2.1744186046511627,0.8953488372093024,0.5581395348837209,0.7790697674418605,0.6627906976744186,-0.06976744186046512,-0.5930232558139535,1.569767441860465,1.0894000000000001,75
Federico Delbonis,1.4651162790697674,0.22093023255813954,0.11627906976744186,0.09302325581395349,-26.3953488372093,-1.9069767441860466,0.7093023255813954,0.32558139534883723,0.7209302325581395,1.941860465116279,0.09302325581395349,-0.9418604651162791,-0.7325581395348837,1.0521999999999998,76
Bernabe Zapata Miralles,0.313953488372093,-0.9883720930232558,-0.627906976744186,-1.0930232558139534,-37.03488372093023,3.744186046511628,0.627906976744186,0.13953488372093023,0.8023255813953488,1.0,-0.9302325581395349,-2.2209302325581395,-0.23255813953488372,1.0514000000000001,77
Francisco Cerundolo,0.27906976744186046,0.1744186046511628,0.36046511627906974,0.19767441860465115,-31.61627906976744,-2.2209302325581395,0.872093023255814,0.8488372093023255,0.9302325581395349,0.6976744186046512,0.5232558139534884,0.4418604651162791,0.7209302325581395,1.0014,78
Sebastian Baez,0.9883720930232558,0.03488372093023256,0.627906976744186,0.1744186046511628,-41.04651162790697,3.244186046511628,0.8488372093023255,0.6627906976744186,0.7325581395348837,0.3372093023255814,0.23255813953488372,-0.5697674418604651,0.6744186046511628,0.9617999999999999,79
Aslan Karatsev,0.13953488372093023,0.26744186046511625,0.1744186046511628,0.20930232558139536,-16.825581395348838,-23.697674418604652,0.6162790697674418,0.3488372093023256,0.46511627906976744,0.4418604651162791,0.36046511627906974,0.18604651162790697,-0.13953488372093023,0.9008000000000002,80
Cristian Garin,0.36046511627906974,0.11627906976744186,0.046511627906976744,0.05813953488372093,-31.174418604651162,-5.767441860465116,0.7558139534883721,0.3488372093023256,0.6976744186046512,0.5581395348837209,0.23255813953488372,0.12790697674418605,1.4883720930232558,0.8356,81
Nikoloz Basilashvili,0.023255813953488372,0.26744186046511625,0.011627906976744186,0.03488372093023256,-27.348837209302324,-9.151162790697674,0.10465116279069768,0.32558139534883723,0.11627906976744186,0.13953488372093023,0.011627906976744186,0.6046511627906976,0.08139534883720931,0.7764,82
Mikael Ymer,0.9069767441860465,0.10465116279069768,0.32558139534883723,0.12790697674418605,-36.26744186046512,-3.0232558139534884,0.9418604651162791,0.813953488372093,0.9534883720930233,0.8372093023255814,0.13953488372093023,0.06976744186046512,0.6046511627906976,0.673,83
Fabio Fognini,0.09302325581395349,0.16279069767441862,0.22093023255813954,0.08139534883720931,-25.058139534883722,-12.744186046511627,0.4186046511627907,0.6395348837209303,0.6046511627906976,0.37209302325581395,0.2558139534883721,0.26744186046511625,0.7674418604651163,0.5085999999999999,84
Pedro Martinez,0.686046511627907,0.06976744186046512,0.6046511627906976,0.11627906976744186,-32.627906976744185,-4.5,0.6976744186046512,0.6511627906976745,0.5697674418604651,0.11627906976744186,0.13953488372093023,0.2558139534883721,0.22093023255813954,0.32559999999999995,85
Diego Schwartzman,0.872093023255814,0.011627906976744186,0.11627906976744186,0.03488372093023256,-33.76744186046512,-2.0813953488372094,0.9883720930232558,0.9418604651162791,0.9883720930232558,0.872093023255814,0.2558139534883721,0.29069767441860467,0.9534883720930233,-0.12039999999999984,86
