player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted_x,perc_break_points_converted_y,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
Ben Shelton,0.09302325581395349,1.7906976744186047,1.127906976744186,2.116279069767442,40.627906976744185,-8.86046511627907,0.16279069767441862,0.06976744186046512,0.06976744186046512,0.36046511627906974,0.36046511627906974,1.9651162790697674,0.18604651162790697,0.23255813953488372,3.752600000000001,21
Thiago Monteiro,0.8023255813953488,0.4418604651162791,0.872093023255814,0.6511627906976745,10.767441860465116,12.790697674418604,-0.5,0.03488372093023256,-0.47674418604651164,0.7790697674418605,0.7790697674418605,0.6046511627906976,-0.5697674418604651,0.26744186046511625,3.7448,22
Borna Coric,0.4069767441860465,0.9069767441860465,0.9883720930232558,1.0232558139534884,12.662790697674419,8.453488372093023,0.16279069767441862,0.36046511627906974,-0.023255813953488372,-0.03488372093023256,-0.03488372093023256,0.5465116279069767,1.813953488372093,0.20930232558139536,3.7239999999999993,23
Jack Draper,-0.36046511627906974,0.7441860465116279,0.36046511627906974,0.7558139534883721,24.174418604651162,-3.011627906976744,0.19767441860465115,0.8255813953488372,0.5581395348837209,0.5697674418604651,0.5697674418604651,0.9767441860465116,-1.0813953488372092,-2.697674418604651,3.7141999999999995,24
Novak Djokovic,0.7558139534883721,0.872093023255814,0.9651162790697675,0.9069767441860465,8.80232558139535,11.790697674418604,0.9069767441860465,0.9883720930232558,0.9186046511627907,0.8255813953488372,0.8255813953488372,0.7325581395348837,1.1511627906976745,0.686046511627907,3.3848000000000003,25
Oscar Otte,0.0,1.3837209302325582,0.1511627906976744,0.8604651162790697,29.767441860465116,-6.255813953488372,0.37209302325581395,0.27906976744186046,0.4418604651162791,0.4418604651162791,0.4418604651162791,1.627906976744186,1.0930232558139534,0.3953488372093023,3.2924000000000007,26
Lorenzo Sonego,0.9418604651162791,0.29069767441860467,0.11627906976744186,0.4069767441860465,9.418604651162791,12.988372093023257,0.6627906976744186,-0.5697674418604651,0.0,0.6976744186046512,0.686046511627907,0.47674418604651164,0.9069767441860465,-1.0348837209302326,3.2850000000000006,27
Taro Daniel,0.29069767441860467,0.45348837209302323,0.03488372093023256,0.09302325581395349,8.116279069767442,12.604651162790697,0.5116279069767442,0.3488372093023256,0.3953488372093023,0.6976744186046512,0.6976744186046512,0.08139534883720931,1.127906976744186,0.27906976744186046,3.2520000000000002,28
Alexander Zverev,1.5813953488372092,0.9302325581395349,0.06976744186046512,1.244186046511628,20.825581395348838,-4.72093023255814,1.058139534883721,0.5465116279069767,1.2325581395348837,1.4651162790697674,1.4651162790697674,0.4418604651162791,3.058139534883721,1.5930232558139534,3.216,29
Casper Ruud,0.8604651162790697,1.0116279069767442,1.069767441860465,1.302325581395349,6.848837209302325,8.534883720930232,0.5232558139534884,0.6511627906976745,0.627906976744186,0.19767441860465115,0.19767441860465115,0.7209302325581395,1.686046511627907,1.3953488372093024,3.2034000000000007,30
Andy Murray,-0.011627906976744186,0.6511627906976745,0.1511627906976744,0.29069767441860467,12.55813953488372,1.9651162790697674,0.3488372093023256,0.9651162790697675,0.5581395348837209,0.43023255813953487,0.43023255813953487,-0.23255813953488372,0.19767441860465115,0.5930232558139535,3.1917999999999997,31
Tallon Griekspoor,0.3953488372093023,0.5813953488372093,0.4186046511627907,0.5232558139534884,17.11627906976744,-1.1744186046511629,0.05813953488372093,0.46511627906976744,0.10465116279069768,0.05813953488372093,0.05813953488372093,0.6744186046511628,0.47674418604651164,-0.313953488372093,3.1128000000000005,32
J.J. Wolf,0.18604651162790697,0.5,0.10465116279069768,0.29069767441860467,14.30232558139535,-1.255813953488372,0.45348837209302323,0.3953488372093023,0.45348837209302323,0.45348837209302323,0.45348837209302323,0.22093023255813954,0.47674418604651164,0.9883720930232558,3.0625999999999998,33
Jannik Sinner,0.06976744186046512,0.686046511627907,0.7441860465116279,0.7093023255813954,9.825581395348838,0.2441860465116279,0.8255813953488372,0.8837209302325582,0.872093023255814,0.6976744186046512,0.6976744186046512,0.6162790697674418,1.4534883720930232,1.1511627906976745,3.0219999999999994,34
Sebastian Korda,0.4069767441860465,0.3953488372093023,0.3023255813953488,0.5116279069767442,5.9186046511627906,4.930232558139535,0.8488372093023255,0.5581395348837209,0.8372093023255814,0.7674418604651163,0.7674418604651163,0.5813953488372093,0.46511627906976744,0.16279069767441862,2.9860000000000007,35
Marcos Giron,0.313953488372093,0.5697674418604651,0.6046511627906976,0.4418604651162791,-1.6627906976744187,16.430232558139537,0.2558139534883721,0.1744186046511628,0.2558139534883721,0.686046511627907,0.686046511627907,0.08139534883720931,1.0,0.313953488372093,2.9018,36
Benjamin Bonzi,-0.27906976744186046,0.5465116279069767,0.686046511627907,0.5813953488372093,6.395348837209302,3.7093023255813953,-0.05813953488372093,0.6511627906976745,-0.12790697674418605,-0.09302325581395349,-0.09302325581395349,0.627906976744186,-0.5813953488372093,-0.9069767441860465,2.894800000000001,37
